Franchise	No_of_Movies	Domestic_Box_Office	Infl_Adj_Dom_Box_Office	Worldwide_Box_Office	First_Year	Last_Year	No_of_Years
Mickey Mouse	5	$0	$0	$0	2001	2008	7
Sharknado	5	$0	$0	$0	2013	2016	3
Futurama	4	$0	$0	$0	2007	2009	2
Sister Street Fighter	4	$0	$0	$0	1974	1976	2
Desu Noto	4	$0	$0	$110,130,306	2008	2016	8
RiffTrax Live	4	$0	$0	$0	2013	2014	1
Justice League	4	$0	$0	$0	2015	2020	5
Belle et Sebastien	3	$0	$0	$50,001,801	2013	2018	5
Pororo	3	$0	$0	$8,847,201	2015	2017	2
Rogue Warfare	3	$0	$0	$0	2019	2020	1
Bad Ass	3	$0	$0	$0	2012	2015	3
Fack ju Göhte	3	$0	$0	$269,786,977	2013	2017	4
Argento’s Animal Trilogy	3	$0	$0	$0	1970	1972	2
Shopkins	3	$0	$0	$195,210	2016	2018	2
Crayon Shin Chan	3	$0	$0	$23,536,978	2006	2016	10
Ivan Tsarevich i Seryy Volk	3	$0	$0	$42,039,975	2011	2019	8
Basket Case	3	$0	$0	$0	1982	1991	9
Nativity	3	$0	$0	$11,492,347	2010	2014	4
Thomas and Friends	3	$0	$0	$3,649,249	2012	2019	7
Descendants	3	$0	$0	$0	2015	2019	4
Smetto Quando Voglio	3	$0	$0	$6,510,407	2016	2017	1
Police Story	3	$0	$0	$0	1993	2015	22
Masked Rider	3	$0	$0	$13,353,789	2006	2008	2
The Toxic Avenger	3	$0	$0	$0	1986	1989	3
Sleepaway Camp	3	$0	$0	$0	1983	2015	32
Santa Buddies	3	$0	$0	$0	2009	2012	3
Top Cat	2	$0	$0	$11,360,838	2011	2015	4
Always	2	$0	$0	$69,874,885	2007	2012	5
Marfa Girl	2	$0	$0	$0	2015	2018	3
Antboy	2	$0	$0	$3,286	2014	2015	1
What Would Jesus Do?	2	$0	$0	$0	2010	2015	5
Snezhnaya koroleva	2	$0	$0	$30,196,553	2012	2014	2
Ryanverse	2	$0	$0	$0	2020	2020	
Rest Stop	2	$0	$0	$0	2006	2008	2
Kidulthood	2	$0	$0	$6,774,155	2006	2008	2
Gangster Ka	2	$0	$0	$1,588,476	2015	2015	
Teen Beach Movie	2	$0	$0	$0	2013	2015	2
Vacanze	2	$0	$0	$8,447,319	2011	2015	4
Torrente	2	$0	$0	$39,659,408	2012	2014	2
Maniac Cop	2	$0	$0	$0	1990	1993	3
Kiseijuu	2	$0	$0	$21,992,770	2015	2015	
The Woman	2	$0	$0	$0	2011	2019	8
The Dead	2	$0	$0	$0	2012	2014	2
Fred Figglehorn	2	$0	$0	$0	2011	2012	1
Uncle Kent	2	$0	$0	$0	2010	2016	6
Fireangels	2	$0	$0	$0	2017	2022	5
Pumping Iron	2	$0	$0	$0	1977	1985	8
MSG The Messenger of God	2	$0	$0	$27,053	2015	2015	
Wilden Kerle	2	$0	$0	$29,700,000	2007	2008	1
The Man From Macau	2	$0	$0	$230,773,224	2014	2015	1
I Am Vengeance	2	$0	$0	$0	2018	2020	2
Crossword Mysteries	2	$0	$0	$0	2019	2020	1
Wolfcop	2	$0	$0	$0	2015	2017	2
Si da ming bu	2	$0	$0	$29,567,632	2012	2014	2
When Calls the Heart	2	$0	$0	$0	2013	2015	2
The Hamiltons	2	$0	$0	$0	2006	2012	6
Tiny Times	2	$0	$0	$75,490,000	2013	2014	1
Gekijo ban Naruto	2	$0	$0	$7,947,209	2008	2017	9
Best F(r)iends	2	$0	$0	$6,007	2018	2018	
Mortadelo y Filemon	2	$0	$0	$10,892,849	2008	2014	6
Spanish Affair	2	$0	$0	$117,302,855	2014	2015	1
A Bread Factory	2	$0	$0	$0	2018	2018	
Arn	2	$0	$0	$28,403,029	2007	2008	1
Rise of the Footsoldier	2	$0	$0	$8,145	2008	2015	7
exhibition on screen	2	$0	$0	$264,713	2018	2020	2
John Clark	2	$0	$0	$0	2020	2020	
The Pact	2	$0	$0	$6,031,199	2012	2014	2
13 Cameras	2	$0	$0	$0	2016	2018	2
When Love Happens	2	$0	$0	$7,573	2015	2016	1
Detective Conan	2	$0	$0	$41,032,728	2007	2008	1
Celtic Woman	2	$0	$0	$0	2005	2007	2
Paw Patrol	2	$0	$0	$0	2015	2021	6
King of Prism	1	$0	$0	$8,708,882	2016	2016	
Twitches	1	$0	$0	$0	2006	2006	
10 Minute Solution	1	$0	$0	$0	2006	2006	
Yolki	1	$0	$0	$11,499,494	2018	2018	
Les Bronzés	1	$0	$0	$83,833,602	2006	2006	
Mirror Mirror	1	$0	$0	$0	2000	2000	
Signed, Sealed, Delivered	1	$0	$0	$0	2019	2019	
Winx Club	1	$0	$0	$18,523,991	2012	2012	
Lupin III	1	$0	$0	$6,735,360	2019	2019	
Qian bu gou yong	1	$0	$0	$1,870,552	2008	2008	
Frankenstein	1	$0	$0	$0	1935	1935	
Jay and Silent Bob	1	$0	$0	$0	2014	2014	
Lalaloopsy	1	$0	$0	$0	2012	2012	
The Librarian	1	$0	$0	$0	2009	2009	
Carl Bessai's Relatives	1	$0	$0	$0	2011	2011	
Action Six Pack	1	$0	$0	$2,178	2016	2016	
Les randonneurs	1	$0	$0	$1,823,846	2008	2008	
Vaxxed	1	$0	$0	$0	2020	2020	
Bhoot	1	$0	$0	$2,294,815	2020	2020	
Kitaro	1	$0	$0	$18,836,036	2008	2008	
American Psycho	1	$0	$0	$0	2004	2004	
Pyaar Ka Punchnama	1	$0	$0	$2,426,641	2011	2011	
Coconut the Little Dragon	1	$0	$0	$1,830,285	2018	2018	
Le cœur des hommes	1	$0	$0	$12,130,156	2007	2007	
azem	1	$0	$0	$247,988	2016	2016	
Ironclad	1	$0	$0	$5,297,411	2011	2011	
Biggest Loser	1	$0	$0	$0	2006	2006	
7 Zwerge	1	$0	$0	$29,900,000	2006	2006	
The Christmas Chronicles	1	$0	$0	$0	2020	2020	
Daan gyun naam Yu	1	$0	$0	$0	2014	2014	
Dino Dana	1	$0	$0	$0	2019	2019	
Ironiya Sudby	1	$0	$0	$54,700,664	2007	2007	
Tales From Sanctuary City	1	$0	$0	$0	2020	2020	
Greenstreet Hooligans	1	$0	$0	$0	2015	2015	
Blind Dead	1	$0	$0	$0	1977	1977	
Brightheart	1	$0	$0	$0	2020	2020	
Freeway	1	$0	$0	$0	1998	1998	
The Locator	1	$0	$0	$0	2009	2009	
Tanguy	1	$0	$0	$8,033,866	2019	2019	
Kocan Kadar Konus	1	$0	$0	$6,174,554	2016	2016	
Weiner Dog	1	$0	$0	$0	2013	2013	
Howling	1	$0	$0	$0	1985	1985	
Against the Wild	1	$0	$0	$0	2014	2014	
A Few Best Men	1	$0	$0	$17,224,539	2012	2012	
Train to Busan	1	$0	$0	$0	2020	2020	
Attack of the Killer Tomatoes	1	$0	$0	$0	1978	1978	
Yokai Watch	1	$0	$0	$53,396,284	2015	2015	
The Devil’s Rejects	1	$0	$0	$116,296	2019	2019	
The Munsters	1	$0	$0	$0	1966	1966	
Maruko	1	$0	$0	$3,844,017	2016	2016	
After Porn Ends	1	$0	$0	$0	2017	2017	
Iron Sky	1	$0	$0	$0	2018	2018	
The Walking Dead	1	$0	$0	$0	2019	2019	
Jillian Michaels Fitness	1	$0	$0	$0	2015	2015	
Bulletproof	1	$0	$0	$0	2020	2020	
Troublesome Night	1	$0	$0	$7,052,423	2017	2017	
Meitantei Conan	1	$0	$0	$866,604	2017	2017	
Dragons Nest	1	$0	$0	$3,858,035	2016	2016	
Lighting Dindin	1	$0	$0	$1,457,100	2017	2017	
Wild Geese	1	$0	$0	$0	1985	1985	
Get Smart	1	$0	$0	$0	2008	2008	
Pripara	1	$0	$0	$1,668,644	2016	2016	
The Invoking	1	$0	$0	$0	2014	2014	
Tom and Jerry	1	$0	$0	$0	2015	2015	
Chicken Run	1	$0	$0	$0	2020	2020	
Boy s tenyu	1	$0	$0	$12,426,015	2007	2007	
Digimon	1	$0	$0	$2,318,407	2020	2020	
